Mr. Store Item,Year,Speed Tier,Loathers Review,Unlocks a New Zone?,IOTY?,Con Item?,Replica in LOL?,Account Bound?,price (1-13-2023),$valu,"56,000,000"
Apathargic Bandersnatch,2009,0,,,,,lol,1,"890,000,000",$158.93,$158.93
fairy-worn boots,2011,0,,,,,,1,"500,000,000",$89.29,$248.21
Source terminal,2016,0,,,,,lol,1,"2,000,000,000",$357.14,$605.36
Kramco Industries packing carton,2019,0,,,,,lol,1,"190,000,000",$33.93,$639.29
baby camelCalf,2020,0,,,,,lol,1,"170,000,000",$30.36,$669.64
emotion chip,2021,0,,,,,lol,1,"675,000,000",$120.54,$790.18
packaged backup camera,2021,0,,,,,,1,"325,000,000",$58.04,$848.21
packaged cold medicine cabinet,2021,0,,,,,,1,"161,000,000",$28.75,$876.96
packaged jurassic parka,2022,0,,,,,lol,1,,$0.00,$876.96
book of facts,2023,0,,,,,,1,,,
boxed bat wings,2024,0,,,,,,1,,,
lab-grown blood cubic zirconia,2025,0,,,,,,1,,,
seal-clubbing club loot box,2026,0,,,,,,1,,,
Tome of Clip Art,2011,1,,,,,,1,"71,950,000",$12.85,$12.85
Pack of Every Card,2015,1,,,,,lol,1,"420,000,000",$75.00,$87.85
LI-11 Motor Pool voucher,2017,1,,,,,,1,"698,321,123",$124.70,$212.55
corked genie bottle,2017,1,,,,,lol,1,"990,000,000",$176.79,$389.33
Pocket Meteor Guide,2017,1,,,,,,1,"287,000,000",$51.25,$440.58
space planula,2017,1,,,,,lol,1,"429,000,000",$76.61,$517.19
January's Garbage Tote (unopened),2018,1,,,,,lol,1,"680,666,086",$121.55,$638.74
Fourth of May Cosplay Saber kit,2019,1,,,,,lol,1,"199,999,999",$35.71,$674.45
packaged Pocket Professor,2019,1,,,,,,1,"99,000,000",$17.68,$692.13
mint-in-box Powerful Glove,2020,1,,,,,lol,1,"194,999,995",$34.82,$726.95
Comprehensive Cartographic Compendium,2020,1,,,,,,1,"120,000,000",$21.43,$748.38
packaged miniature crystal ball,2021,1,,,,,lol,1,"167,000,000",$29.82,$778.20
packaged fire extinguisher,2021,1,,,,,lol,1,,$0.00,$778.20
grey gosling,2022,1,,,,,lol,1,,$0.00,$778.20
undrilled cosmic bowling ball,2022,1,,,,,,1,,$0.00,$778.20
boxed autumn-aton,2022,1,,,,,,1,,,
sleeping patriotic eagle,2023,1,,,,,lol,1,,,
closed-circuit pay phone,2023,1,,1,,,,1,,$0.00,$0.00
cursed monkey glove,2023,1,,,,,,1,,$0.00,$0.00
shrink-wrapped Cincho de Mayo,2023,1,,,,,lol,1,,$0.00,$0.00
shrink-wrapped 2002 Mr. Store Catalog,2023,1,,,,,lol,1,,$0.00,$0.00
wrapped candy cane sword cane,2023,1,,,,,,1,,,
